--- Terminal on /dev/ttyUSB0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
GEARS MODE
[FeedbackStepper] Shift from 0 to -293872
Expected (avg) delay: 485	Measured (avg) delay: 518.31
Encoder reading: -356454		Average error: -0.64
Total correction: 12876
-80	-122	15
-80	-117	11
-80	-107	3
-80	-105	2
-80	-98	-3
-80	-88	-11
-80	-87	-12
-80	-83	-15
-80	-79	-18
-80	-81	-16
-80	-83	-15
-80	-87	-12
-80	-85	-13
-80	-98	-3
-80	-105	2
-80	-113	8
-80	-117	11
-80	-130	21
-80	-135	25
-80	-133	23
-80	-135	25
-80	-130	21
-80	-114	9
-80	-112	7
-80	-103	0
-80	-95	-5
-80	-88	-11
-80	-80	-17
-80	-81	-16
-80	-81	-16
-80	-78	-19
-80	-84	-14
-80	-89	-10
-80	-90	-9
-80	-100	-1
-80	-109	5
-80	-113	8
-80	-113	8
-80	-125	17
-80	-124	16
-80	-116	10
-80	-118	12
-80	-112	7
-80	-105	2
-80	-93	-7
-80	-92	-8
-80	-88	-11
-80	-79	-18
-80	-81	-16
-80	-83	-15
-80	-83	-15
-80	-81	-16
-80	-92	-8
-80	-96	-4
-80	-100	-1
-80	-113	8
-80	-121	14
-80	-131	22
-80	-130	21
-80	-138	27
-80	-136	26
-80	-123	16
-80	-120	13
-80	-114	9
-80	-101	-1
-80	-90	-9
-80	-89	-10
-96	-101	-17
-80	-78	-19
-80	-81	-16
-96	-95	-21
-80	-86	-12
-80	-92	-8
-80	-96	-4
-80	-98	-3
-80	-111	6
-80	-115	9
-80	-116	10
-80	-125	17
-80	-123	16
-80	-123	16
-80	-108	4
-80	-109	5
-80	-103	0
-80	-90	-9
-80	-91	-8
-80	-86	-12
-80	-81	-16
-80	-79	-18
-80	-81	-16
-80	-85	-13
-80	-83	-15
-80	-92	-8
-80	-100	-1
-80	-110	5
-80	-109	5
-80	-127	19
-80	-133	23
-80	-129	20
-80	-139	28
-80	-135	25
-80	-125	17
-80	-112	7
-80	-108	4
-80	-98	-3
-80	-89	-10
-80	-86	-12
-80	-83	-15
-80	-81	-16
-80	-81	-16
-80	-79	-18
-80	-86	-12
-80	-91	-8
-80	-92	-8
-80	-103	0
-80	-110	5
-80	-111	6
-80	-121	14
-80	-125	17
-80	-125	17
-80	-112	7
-80	-118	12
-80	-108	4
-80	-97	-4
-80	-96	-4
-80	-90	-9
-80	-85	-13
-80	-80	-17
-80	-80	-17
-80	-83	-15
-80	-80	-17
-80	-87	-12
-80	-94	-6
-80	-100	-1
-80	-101	-1
-80	-118	12
-80	-124	16
-80	-127	19
-80	-139	28
-80	-138	27
-80	-133	23
-80	-121	14
-80	-115	9
-80	-109	5
-80	-95	-5
-80	-91	-8
-80	-88	-11
-80	-82	-15
-80	-77	-19
-80	-82	-15
-80	-82	-15
-80	-86	-12
-80	-87	-12
-80	-96	-4
-80	-105	2
-80	-104	1
-80	-115	9
-80	-123	16
-80	-123	16
-80	-118	12
-80	-122	15
-80	-115	9
-80	-104	1
-80	-102	0
-80	-95	-5
-80	-90	-9
-80	-81	-16
-80	-83	-15
-80	-82	-15
